id;Sector;existencia
1;Aula 20;Si
2;Aula Video Conferencia;Si
3;Aula 19 - Lab. Informatica;Si
4;Centro de Comunicaciones;Si
5;Pasillo C;Si
6;Pasillo D;Si
7;Lab. Arquitectura;Si
8;Escalera 4;Si
9;Baños Mixtos;Si
10;Baño Lab. Arquitectura;Si
11;Aula 21;Si
12;Aula 22;Si
13;Aula 27;Si
14;Aula 23;Si
15;Aula 26;Si
16;SUM;Si
17;Aula 25;Si
18;Pasillo E;Si
19;Escalera 5;Si
20;Escalera 3;Si
21;Pasillo A;Si
22;Escalera 1;Si
23;Pasillo B;Si
24;Escalera 2;Si
25;Alumnado;Si
26;Administración;Si
27;Gabinete Ps.;Si
28;Sec. Académica;Si
29;Of. de Personal;Si
30;Baño Hombre Pasillo B;Si
31;Baño Dama Pasillo B;Si
32;Baño Discapacitado Pasillo B;Si
33;Cantina;Si
34;Biblioteca;Si
35;Sala de Lectura;Si
36;Sec. Asuntos Estudiantiles;Si
37;Dasuten;Si
38;Aula 1;Si
39;Baño Dama Pasillo E;Si
40;Baño Hombre Pasillo D;Si
41;Laboratorio de Suelos;Si
42;Baño Discapacitado Pasillo C;Si
43;Baño Hombre Pasillo C;Si
44;Laboratorio de Materiales;Si
45;Nave Laboratorios Civil;Si
46;Pasillo A Nave Electromecánica ;Si
47;Pasillo B Nave Electromecánica ;Si
48;Laboratorio de Mecánica;Si
49;Mantenimiento;Si
50;GDE;Si
51;Laboratorio de Ensayo de Motores;Si
52;Metrología;Si
53;Baño Hombre Nave Electro;Si
54;Baño Dama Nave Electro;Si
55;SUM ll;Si
56;Acceso Calle La Heras;Si
57;Hall Ingreso Calle Laprida;Si
58;Sala de Consejo;Si
59;Unidad Vinculación Tecnológica;Si
60;Secretaría Extensión Universitaria;Si
61;Área de Convenios;Si
62;Secretaría Administrativa;Si
63;Cursos de Capacitación;Si
64;Decanato;Si
65;Vice-Decanato;Si
66;Secretaría de Decanato;Si
67;Cocina Pasillo B;Si
68;Depto. Ing. Electromecánica;Si
69;Depto. Ing. Civil;Si
70;Depto. Básicas;Si
71;Laboratorio Química;Si
72;Aula 11;Si
73;Lab. Información Geográfica;Si
74;Aula 10;Si
75;Aula 14D;Si
76;Aula 14C;Si
77;Aula 14B;Si
78;Aula 14A;Si
79;Aula 15;Si
80;Aula 16;Si
81;Aula 17;Si
82;Aula 13;Si
83;Aula 13Bis;Si
84;Escalera 6;Si
85;Escalera 7;Si
86;Escalera 8;Si
87;Laboratorio Metalografía;Si
88;Laboratorio  Energías Renovables;Si
89;Laboratorio Electricidad;Si
90;Área Usos Multiples;Si
91;Aula 28;Si
92;Aula 29;Si
93;Aula 31;Si
94;Pasillo SUM;Si
95;Escalera 7;Si
96;Calles Las Heras;Si
97;Patio Interno;Si
98;Pasillo Calle Las Heras;Si
99;Estacionamiento ;Si
100;Patio Estacionamiento;Si
101;Calle Laprida;Si
102;Patio Cantina;Si
103;Medición CEVT Laprida;Si
104;Sala de Bombas;Si
